ticker,status,avg_smape,is_avg_smape,bs_avg_smape,revenue_smape,net_income_smape,equity_smape,actual_revenue,forecast_revenue,actual_net_income,forecast_net_income,actual_equity,forecast_equity
AAPL,evaluated,7.6986042728188515,4.110262101305541,11.28694644433216,1.5031511035303697,3.64181011683748,22.610537463595445,391035000000.0,385201000000,93736000000.0,97213000000,56950000000.0,71468000000.0
ALB,evaluated,115.33488148862716,156.38216515831155,74.28759781894276,69.14649547493462,200.0,3.8580619214995484,5377526000.0,11060783450,-1179449000.0,1494802200,9961517000.0,10353398000.0
AMP,evaluated,17.796048023025985,31.03144068235895,4.560655363693014,3.3451118963486453,47.886297376093296,5.16040419896007,17264000000.0,16696000000,3401000000.0,2087000000,5228000000.0,4965000000.0
AMTM,evaluated,71.46902881558358,48.45699699285978,94.4810606383074,4.460694698354661,121.71837708830549,196.62072032014228,8388000000.0,8022000000,-82000000.0,-337000000,4460000000.0,38000000.0
AMZN,evaluated,14.008064845818348,16.35212424397635,11.664005447660351,0.4335675540663453,26.532972652628157,13.358700315222054,637959000000.0,635199000000,59248000000.0,45369000000,285970000000.0,250160000000.0
AVGO,evaluated,58.28275333600181,45.34542455438697,71.22008211761666,29.01675196216654,88.27292110874201,89.18514720335,51574000000.0,38505000000,5895000000.0,15210000000,67678000000.0,25934000000.0
BK,evaluated,10.471765692736819,13.287391923351581,8.594681538993642,2.456045442250473,24.11873840445269,0.48288183881404223,18258000000.0,18712000000,4530000000.0,3555000000,41318000000.0,41518000000.0
BRO,evaluated,4.952918657896132,2.1074878117178635,7.798349504074402,2.6012166981329976,0.9022556390977443,2.4767325590339206,4705000000.0,4829000000,993000000.0,1002000000,6420000000.0,6581000000.0
BXP,evaluated,100.17020893611975,128.6419453281787,71.69847254406078,1.697003765914502,184.22883221862162,8.526775480292606,3407719000.0,3466043000,14272000.0,347705000,5422841000.0,5905826000.0
CAH,evaluated,12.70440953408638,8.520385671750182,16.88843339642258,0.5969436485195797,18.33688699360341,19.64636542239686,226827000000.0,225477000000,852000000.0,1024000000,-3213000000.0,-3913000000.0
CBOE,evaluated,15.965516790299,11.24302621811133,20.68800736248667,6.181154402970982,4.5323885286449626,1.0321260867543818,4094500000.0,3849000000,764900000.0,731000000,4279600000.0,4324000000.0
CNC,evaluated,16.326534289598573,17.309834659125187,15.343233920071961,0.8449056255195985,30.715532286212916,2.8957384879468617,163071000000.0,161699000000,3305000000.0,2425000000,26410000000.0,27186000000.0
DOV,evaluated,42.27791897978566,31.81657227024581,52.739265689325514,2.3101658134898275,88.92000171394292,24.92108633971529,7745909000.0,7569009000,2697126000.0,1036954000,6953996000.0,5413001000.0
DOW,evaluated,15.409109214268502,19.296868422103874,11.521350006433126,6.718776359444413,19.79320531757755,8.612704014115572,42964000000.0,45951000000,1116000000.0,915000000,17355000000.0,18917000000.0
DTE,evaluated,74.6831005866981,80.14822425629184,69.21797691710437,24.817620897568865,15.627051871306632,4.380904606638241,12457000000.0,15986500000,1404000000.0,1642000000,11699000000.0,12223000000.0
ECL,evaluated,9.656378985715465,17.22273869686646,2.09001927456447,4.470537563486692,35.1089023122177,0.7913066326958766,15741400000.0,16461215000,2112400000.0,1481509000,8757300000.0,8688276000.0
EQT,evaluated,103.94251063742911,103.94251063742911,,10.484448102518991,152.2263033279688,,5222192000.0,5800000000,230577000.0,1700000000,20597628000.0,
ETR,evaluated,77.74270979893191,82.97403374729556,72.51138585056826,8.667756793026541,40.254344448860145,8.432930274306607,11879653000.0,12956000000,1061184000.0,1596000000,15118908000.0,16450000000.0
FTNT,evaluated,14.188317165883808,14.188317165883808,,5.134594482467087,23.419482547574063,,5955800000.0,6269664000,1745200000.0,1379326080,1493800000.0,
GL,evaluated,11.456605316914098,6.393300003459171,16.519910630369026,2.4504161387283845,7.462361237184511,3.245208744068151,5778069000.0,5638196000,1070762000.0,993732000,5305520000.0,5480535000.0
HBAN,evaluated,4.988163071338794,2.972873150787607,6.331689685039585,1.358348463452357,4.5873978381228575,5.373428641853587,7385000000.0,7486000000,1940000000.0,1853000000,19740000000.0,20830000000.0
HIG,evaluated,7.947148147843734,8.458332378470553,7.435963917216917,0.8908516389385922,12.463718627283592,1.1619373776908024,26384000000.0,26150000000,3111000000.0,2746000000,16447000000.0,16257000000.0
HRL,evaluated,72.4236304626502,77.54935718988068,67.29790373541972,1.3477149385666614,31.30035663107539,0.740009389809307,11920797000.0,11761214000,805038000.0,587157000,7993420000.0,7934486000.0
LYV,evaluated,18.51229544467594,18.51229544467594,,5.714923145356512,37.13852749998843,,23155625000.0,24517877000,896287000.0,615550000,173263000.0,
MET,evaluated,166.68061321918617,133.36122643837234,200.0,0.08367931511699012,200.0,200.0,69939000000.0,69880500000,4426000000.0,-1060500000,27445000000.0,0.0
MMM,evaluated,66.67255842916506,102.74281215414338,30.602304704186746,2.121706222195382,106.10673024023474,45.22106959411824,24575000000.0,25102000000,4173000000.0,1280000000,3842000000.0,6087000000.0
MRNA,evaluated,46.57100314338397,53.41724122520922,39.72476506155873,80.40003738667166,35.01072430292031,5.347975536806392,3199000000.0,7500000000,-3561000000.0,-2500000000,10901000000.0,11500000000.0
MS,evaluated,57.00608081358538,37.632900962248925,69.92153404780969,11.851647594098994,63.41415433039886,8.48827002872646,57621000000.0,51174000000,13390000000.0,6943000000,104511000000.0,96001000000.0
MTCH,evaluated,41.94645351145474,12.481859807397099,71.41104721551238,1.5218261228943903,24.44124393236251,200.0,3479373000.0,3532729000,551276000.0,704773000,-63659000.0,23552000.0
MU,evaluated,41.231071834793354,74.50148481384277,7.960658855743941,0.9884942471235618,123.44403444034441,4.919060277939874,25111000000.0,24864000000,778000000.0,3287000000,45131000000.0,47407000000.0
NSC,evaluated,10.485425563854335,16.48054867475187,4.490302452956802,1.747378931602596,34.8410210479176,13.04542069992554,12123000000.0,11913000000,2622000000.0,1844000000,14306000000.0,12554000000.0
PANW,evaluated,39.48875273833088,47.57253679360212,31.404968683059646,4.6432247459540585,121.36825376684072,75.74300629402,8027500000.0,8409094000,2577600000.0,630682050,5169700000.0,2329601715.0
PEG,evaluated,20.37669475828334,26.798008404546504,13.955381112020177,16.463033978417908,27.83580276900656,14.222664675626348,10290000000.0,12136000000,1772000000.0,2345000000,13996000000.0,16139000000.0
PEP,evaluated,10.265350126441687,4.954913403737202,15.57578684914617,4.940513163552965,1.2607690691321707,10.93557599098745,91854000000.0,96507000000,9578000000.0,9458000000,18041000000.0,20128000000.0
PG,evaluated,4.209765199099436,3.140821468136773,5.2787089300620975,0.4687360229000805,1.0336091876372235,6.731965014337544,84039000000.0,83646000000,14879000000.0,14726000000,50286000000.0,47011000000.0
PGR,evaluated,81.84104527461051,88.89570595344905,74.78638459577196,5.380389393509335,61.30672846683781,18.10684857720459,75343000000.0,71395450000,8480000000.0,4500913350,25591000000.0,21341960000.0
PM,evaluated,12.519325324037245,7.558237727997379,17.48041292007711,2.12357481487286,18.690988502794013,6.806971390989806,37878000000.0,38691000000,7057000000.0,8512000000,-11750000000.0,-12578000000.0
