ticker,thinking_mode,temperature,max_tokens,thinking_budget,run,success,revenue,net_income,equity,total_assets,cash,smape,latency_s,thinking_tokens,output_tokens
REGN,no_thinking,0.0,8192,0,1,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,3.05,0,336
REGN,no_thinking,0.0,8192,0,2,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,2.57,0,336
REGN,no_thinking,0.0,8192,0,3,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,2.15,0,336
REGN,no_thinking,0.0,8192,0,4,True,14100000000,3600000000,28000000000.0,36500000000.0,5000000000,100.0,2.51,0,336
REGN,no_thinking,0.0,8192,0,5,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,2.29,0,336
REGN,no_thinking,0.0,8192,0,6,True,14100000000,3600000000,28000000000.0,36500000000.0,5000000000,100.0,2.21,0,336
REGN,no_thinking,0.0,8192,0,7,True,14100000000,3600000000,28000000000.0,36500000000.0,5000000000,100.0,2.22,0,336
REGN,no_thinking,0.0,8192,0,8,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,1.96,0,336
REGN,no_thinking,0.0,8192,0,9,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,2.13,0,336
REGN,no_thinking,0.0,8192,0,10,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,2.08,0,336
REGN,no_thinking,0.7,8192,0,1,True,14100000000,3600000000,29000000000.0,36000000000.0,3000000000,100.0,2.12,0,336
REGN,no_thinking,0.7,8192,0,2,True,14100000000,3600000000,28000000000.0,36500000000.0,8500000000,100.0,2.08,0,336
REGN,no_thinking,0.7,8192,0,3,True,14100000000,3600000000,29000000000.0,37000000000.0,0,100.0,2.4,0,234
REGN,no_thinking,0.7,8192,0,4,True,14175000000,4000000000,26973100000.0,36945900000.0,4000000000,100.0,2.0,0,335
REGN,no_thinking,0.7,8192,0,5,True,14100000000,3600000000,28000000000.0,36000000000.0,3000000000,100.0,1.94,0,336
REGN,no_thinking,0.7,8192,0,6,True,14100000000,3600000000,29000000000.0,36500000000.0,3500000000,100.0,2.09,0,335
REGN,no_thinking,0.7,8192,0,7,True,14061500000,3568800000,29973100000.0,36945900000.0,2500000000,100.0,1.97,0,336
REGN,no_thinking,0.7,8192,0,8,True,14061500000,3568800000,29973100000.0,36945900000.0,4500000000,100.0,2.39,0,336
REGN,no_thinking,0.7,8192,0,9,True,14061500000,3569000000,29880000000.0,36945900000.0,3000000000,100.0,1.97,0,335
REGN,no_thinking,0.7,8192,0,10,True,14061500000,3568800000,29273100000.0,36945900000.0,4000000000,100.0,1.97,0,335
REGN,with_thinking,0.0,16384,8192,1,True,14061500000,3568800000,29282200000.0,36945900000.0,0,100.0,9.52,2190,234
REGN,with_thinking,0.0,16384,8192,2,True,14135900000,3603900000,29809900000.0,37464900000.0,3371841000,100.0,23.15,6050,334
REGN,with_thinking,0.0,16384,8192,3,True,14061500000,3568800000,29282200000.0,36945900000.0,0,100.0,9.27,2190,234
REGN,with_thinking,0.0,16384,8192,4,True,14061500000,3568800000,29282200000.0,36945900000.0,0,100.0,9.29,2190,234
REGN,with_thinking,0.0,16384,8192,5,True,14135900000,3603900000,29809900000.0,37464900000.0,3371841000,100.0,24.0,6050,334
REGN,with_thinking,0.0,16384,8192,6,True,14061500000,3568800000,29282200000.0,36945900000.0,0,100.0,9.61,2190,234
REGN,with_thinking,0.0,16384,8192,7,True,14135900000,3603900000,29809900000.0,37464900000.0,3371841000,100.0,23.9,6050,334
REGN,with_thinking,0.0,16384,8192,8,True,14135900000,3603900000,29809900000.0,37464900000.0,3371841000,100.0,22.63,6050,334
REGN,with_thinking,0.0,16384,8192,9,True,14135900000,3603900000,29809900000.0,37464900000.0,3371841000,100.0,22.86,6050,334
REGN,with_thinking,0.0,16384,8192,10,True,14135900000,3603900000,29809900000.0,37464900000.0,3371841000,100.0,22.64,6050,334
REGN,with_thinking,0.7,16384,8192,1,True,14136134720,3603044480,29762092600.0,37460088460.0,2996807077,100.0,17.85,4522,335
REGN,with_thinking,0.7,16384,8192,2,True,14136100000,3603800000,29774300000.0,37480300000.0,3279500000,100.0,22.65,5587,334
REGN,with_thinking,0.7,16384,8192,3,True,14135107324,3603260880,29768485710.0,37461241778.0,3933430387,100.0,24.73,6174,335
REGN,with_thinking,0.7,16384,8192,4,True,14135123520,3602593520,29763892600.0,37458510460.0,7491702092,100.0,21.23,4978,335
REGN,with_thinking,0.7,16384,8192,5,True,14135165164,3603639280,29774252600.0,37411399780.0,0,100.0,14.86,3465,243
REGN,with_thinking,0.7,16384,8192,6,True,14136369000,3603092000,29773990000.0,37489142000.0,0,100.0,17.02,4051,243
REGN,with_thinking,0.7,16384,8192,7,True,14035400000,4070300000,29089900000.0,36388200000.0,6549900000,100.0,21.95,4740,334
REGN,with_thinking,0.7,16384,8192,8,True,14136157120,3603640480,29760112600.0,37460942460.0,0,100.0,8.7,1623,234
REGN,with_thinking,0.7,16384,8192,9,True,14136108000,3602840000,29767820000.0,37458740000.0,4214108250,100.0,20.01,5020,335
REGN,with_thinking,0.7,16384,8192,10,True,14135165360,3603243680,29774922600.000004,37482684877.8078,0,100.0,14.23,3281,247
AMZN,no_thinking,0.0,8192,0,1,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.56,0,355
AMZN,no_thinking,0.0,8192,0,2,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.22,0,355
AMZN,no_thinking,0.0,8192,0,3,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,1.76,0,355
AMZN,no_thinking,0.0,8192,0,4,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.02,0,355
AMZN,no_thinking,0.0,8192,0,5,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,1.87,0,355
AMZN,no_thinking,0.0,8192,0,6,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.22,0,355
AMZN,no_thinking,0.0,8192,0,7,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.17,0,355
AMZN,no_thinking,0.0,8192,0,8,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.0,0,355
AMZN,no_thinking,0.0,8192,0,9,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.36,0,355
AMZN,no_thinking,0.0,8192,0,10,True,641000000000,45000000000,260000000000.0,590000000000.0,80000000000,100.0,2.03,0,355
AMZN,no_thinking,0.7,8192,0,1,True,635587000000,50128000000,247033000000.0,593033000000.0,80000000000,100.0,3.89,0,355
AMZN,no_thinking,0.7,8192,0,2,True,641470000000,45000000000,255000000000.0,595000000000.0,80000000000,100.0,2.21,0,355
AMZN,no_thinking,0.7,8192,0,3,True,641470000000,49000000000,250000000000.0,595000000000.0,80000000000,100.0,2.3,0,355
AMZN,no_thinking,0.7,8192,0,4,True,635587000000,58128000000,248033000000.0,593033000000.0,80000000000,100.0,2.9,0,355
AMZN,no_thinking,0.7,8192,0,5,True,641864000000,57177000000,247364000000.0,597151000000.0,80000000000,100.0,2.4,0,355
AMZN,no_thinking,0.7,8192,0,6,True,641878000000,58128000000,256783000000.0,595783000000.0,80000000000,100.0,2.27,0,355
AMZN,no_thinking,0.7,8192,0,7,True,641883000000,57928000000,253033000000.0,593033000000.0,80000000000,100.0,2.12,0,355
AMZN,no_thinking,0.7,8192,0,8,True,641500000000,50000000000,250000000000.0,590000000000.0,80000000000,100.0,2.31,0,355
AMZN,no_thinking,0.7,8192,0,9,True,641479000000,57000000000,252000000000.0,599000000000.0,80000000000,100.0,2.34,0,355
AMZN,no_thinking,0.7,8192,0,10,True,641473000000,57000000000,265000000000.0,595000000000.0,80000000000,100.0,2.23,0,355
